Befästningstekniska konsulter,Fortifikationsverket,2019-09-20,
Projekttävling gällande Konstnärlig gestaltning i delar av nytt badhus,Uddevalla kommun,2019-09-20,"2019-09-30
Om 9 dagar"
Upphandling av fastighetsjour i Uppsalaområdet,Statens fastighetsverk,2019-09-20,"2019-10-21
Om 30 dagar"
Ambulansflyg,Gotlands kommun,2019-09-20,"2019-10-23
Om 32 dagar"
Spektral flödescytometer,Stiftelsen Centrum för Molekylär Medicin,2019-09-20,
Upphandlingskonsult drift- och skötselentreprenad,Fortifikationsverket,2019-09-20,"2019-09-30
Om 9 dagar"
Immersive media-byrå,Kungliga Operan Aktiebolag,2019-09-20,"2019-10-07
Om 16 dagar"
Nya centraldammsugare Kristinehedsverket,Halmstads Energi och Miljö AB,2019-09-20,"2019-10-17
Om 26 dagar"
"Arbeten med glas, Armadakoncernen",Armada Fastighets AB,2019-09-20,"2019-10-10
Om 19 dagar"
TI 2019-2045 Hemtjänst Södertälje kommun,Telge Inköp AB,2019-09-20,"2019-10-22
Om 31 dagar"
Företagshälsovårdstjänster,Malmö kommun,2019-09-20,"2019-11-07
Om 47 dagar"
Driftentreprenad för studentbostäder,Akademiska Hus Aktiebolag,2019-09-20,"2019-10-30
Om 39 dagar"
Kommunikations- och reklambyråtjänster,Gotlands kommun,2019-09-20,"2019-10-21
Om 30 dagar"
"Upplysningsskyltar, produktion och leverans till stödmottagare inom landsbygdsprogrammet",Statens Jordbruksverk,2019-09-20,"2019-10-21
Om 30 dagar"
Återvinningsrevision - kapitalläckage,Halmstads kommun,2019-09-20,"2019-10-07
Om 16 dagar"
Återförsäljare av SAN- och NAS-utrustning och lagring samt tillhörande tjänster,Sveriges Television Aktiebolag,2019-09-20,"2019-10-27
Om 36 dagar"
Dryckesautomater,"Stockholms stad, Serviceförvaltningen",2019-09-20,"2019-10-23
Om 32 dagar"
Tekniska konsulttjänster - Konsultområde El,Båstads kommun,2019-09-20,"2019-10-22
Om 31 dagar"
Tekniska konsulttjänster - Konsultområde Geoteknik,Båstads kommun,2019-09-20,"2019-10-22
Om 31 dagar"
Ramavtal Måleri - Huge Bostäder AB,Huge Bostäder AB,2019-09-20,"2019-10-24
Om 33 dagar"
RFI/heararing inför upphandling av modell för behandling av fastighetsdata,Futurum Fastigheter i Örebro AB,2019-09-20,"2019-09-27 13:59
Om 5 dagar"
"UPPHANDLING VASSARA TORG PARKERINGSGARAGE NYBYGGNAD, GÄLLIVARE KOMMUN",Gällivare Kommun,2019-09-20,"2019-11-07
Om 47 dagar"
Tekniska konsulttjänster - Konsultområde VS/Vent,Båstads kommun,2019-09-20,"2019-10-22
Om 31 dagar"
Revisionstjänster,Tjörns kommun,2019-09-20,"2019-10-28
Om 37 dagar"
Upphandling av Egendoms- och ansvarsförsäkringsprogram,Specialfastigheter Sverige Aktiebolag,2019-09-20,"2019-10-22
Om 31 dagar"
Salt och saltlake,Eskilstuna kommun,2019-09-20,"2019-10-21
Om 30 dagar"
CT för rättsmedicin,Rättsmedicinalverket,2019-09-20,"2019-10-15
Om 24 dagar"
Supply of KVM products and associated accessories.,Sveriges Television Aktiebolag,2019-09-20,"2019-10-27
Om 36 dagar"
Installation fjärrvärme- och fjärrkylcentraler,Tekniska verken i Linköping AB (publ),2019-09-20,"2019-10-09
Om 18 dagar"
Fysioterapeut/sjukgymnast Kriminalvården 2019:1,Kriminalvården,2019-09-20,"2019-10-20
Om 29 dagar"
Söderbymalmsskolan om- och nybyggnation kök,Tornberget Fastighetsförvaltningsaktiebolag i Haninge,2019-09-20,"2019-10-16
Om 25 dagar"
